,,Acciones,,,,,,Criterios,,,,,,,Riesgos  socio-hidrol贸gicos
,,Accion colectiva,Captacion de agua,Compra de agua,Modificacion vivienda,Movilizaciones,Contaminacion de agua,Crecimiento urbano,Desperdicio de agua,Eficacia del servicio,Infraestructura insuficiente,Obstrucci贸n de alcantarillado,Escasez de agua,Inundaciones,Salud
Acciones,Accion colectiva,0.024465,0.024465,0.024465,0.024465,0.024465,0.024465,0.024465,0.024465,0.024465,0.024465,0.024465,0.024465,0.024465,0.024465
,Captacion de agua,0.00411,0.00411,0.00411,0.00411,0.00411,0.00411,0.00411,0.00411,0.00411,0.00411,0.00411,0.00411,0.00411,0.00411
,Compra de agua,0.193028,0.193028,0.193028,0.193028,0.193028,0.193028,0.193028,0.193028,0.193028,0.193028,0.193028,0.193028,0.193028,0.193028
,Modificacion vivienda,0.038297,0.038297,0.038297,0.038297,0.038297,0.038297,0.038297,0.038297,0.038297,0.038297,0.038297,0.038297,0.038297,0.038297
,Movilizaciones,0.025435,0.025435,0.025435,0.025435,0.025435,0.025435,0.025435,0.025435,0.025435,0.025435,0.025435,0.025435,0.025435,0.025435
Criterios,Contaminacion de agua,0.144771,0.144771,0.144771,0.144771,0.144771,0.144771,0.144771,0.144771,0.144771,0.144771,0.144771,0.144771,0.144771,0.144771
,Crecimiento urbano,0.002661,0.002661,0.002661,0.002661,0.002661,0.002661,0.002661,0.002661,0.002661,0.002661,0.002661,0.002661,0.002661,0.002661
,Desperdicio de agua,0.002826,0.002826,0.002826,0.002826,0.002826,0.002826,0.002826,0.002826,0.002826,0.002826,0.002826,0.002826,0.002826,0.002826
,Eficacia del servicio,0.088316,0.088316,0.088316,0.088316,0.088316,0.088316,0.088316,0.088316,0.088316,0.088316,0.088316,0.088316,0.088316,0.088316
,Infraestructura insuficiente,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Obstrucci贸n de alcantarillado,0.04809,0.04809,0.04809,0.04809,0.04809,0.04809,0.04809,0.04809,0.04809,0.04809,0.04809,0.04809,0.04809,0.04809
Riesgos  socio-hidrol贸gicos,Escasez de agua,0.2145,0.2145,0.2145,0.2145,0.2145,0.2145,0.2145,0.2145,0.2145,0.2145,0.2145,0.2145,0.2145,0.2145
,Inundaciones,0.070834,0.070834,0.070834,0.070834,0.070834,0.070834,0.070834,0.070834,0.070834,0.070834,0.070834,0.070834,0.070834,0.070834
,Salud,0.142667,0.142667,0.142667,0.142667,0.142667,0.142667,0.142667,0.142667,0.142667,0.142667,0.142667,0.142667,0.142667,0.142667
